0.0000,0.2222
0.0000,0.1667
0.0000,0.1111
0.0000,0.0833
0.0000,0.1944
0.0000,0.3056
0.0000,0.0833
0.0000,0.1944
0.0000,0.0278
0.0000,0.1667
0.0000,0.3056
0.0000,0.1389
0.0000,0.1389
0.0000,0.0000
0.0000,0.4167
0.0000,0.3889
0.0000,0.3056
0.0000,0.2222
0.0000,0.3889
0.0000,0.2222
0.0000,0.3056
0.0000,0.2222
0.0000,0.0833
0.0000,0.2222
0.0000,0.1389
0.0000,0.1944
0.0000,0.1944
0.0000,0.2500
0.0000,0.2500
0.0000,0.1111
0.0000,0.1389
0.0000,0.3056
0.0000,0.2500
0.0000,0.3333
0.0000,0.1667
0.0000,0.1944
0.0000,0.3333
0.0000,0.1667
0.0000,0.0278
0.0000,0.2222
0.0000,0.1944
0.0000,0.0556
0.0000,0.0278
0.0000,0.1944
0.0000,0.2222
0.0000,0.1389
0.0000,0.2222
0.0000,0.0833
0.0000,0.2778
0.0000,0.1944
1.0000,0.7500
1.0000,0.5833
1.0000,0.7222
1.0000,0.3333
1.0000,0.6111
1.0000,0.3889
1.0000,0.5556
1.0000,0.1667
1.0000,0.6389
1.0000,0.2500
1.0000,0.1944
1.0000,0.4444
1.0000,0.4722
1.0000,0.5000
1.0000,0.3611
1.0000,0.6667
1.0000,0.3611
1.0000,0.4167
1.0000,0.5278
1.0000,0.3611
1.0000,0.4444
1.0000,0.5000
1.0000,0.5556
1.0000,0.5000
1.0000,0.5833
1.0000,0.6389
1.0000,0.6944
1.0000,0.6667
1.0000,0.4722
1.0000,0.3889
1.0000,0.3333
1.0000,0.3333
1.0000,0.4167
1.0000,0.4722
1.0000,0.3056
1.0000,0.4722
1.0000,0.6667
1.0000,0.5556
1.0000,0.3611
1.0000,0.3333
1.0000,0.3333
1.0000,0.5000
1.0000,0.4167
1.0000,0.1944
1.0000,0.3611
1.0000,0.3889
1.0000,0.3889
1.0000,0.5278
1.0000,0.2222
1.0000,0.3889
2.0000,0.5556
2.0000,0.4167
2.0000,0.7778
2.0000,0.5556
2.0000,0.6111
2.0000,0.9167
2.0000,0.1667
2.0000,0.8333
2.0000,0.6667
2.0000,0.8056
2.0000,0.6111
2.0000,0.5833
2.0000,0.6944
2.0000,0.3889
2.0000,0.4167
2.0000,0.5833
2.0000,0.6111
2.0000,0.9444
2.0000,0.9444
2.0000,0.4722
2.0000,0.7222
2.0000,0.3611
2.0000,0.9444
2.0000,0.5556
2.0000,0.6667
2.0000,0.8056
2.0000,0.5278
2.0000,0.5000
2.0000,0.5833
2.0000,0.8056
2.0000,0.8611
2.0000,1.0000
2.0000,0.5833
2.0000,0.5556
2.0000,0.5000
2.0000,0.9444
2.0000,0.5556
2.0000,0.5833
2.0000,0.4722
2.0000,0.7222
2.0000,0.6667
2.0000,0.7222
2.0000,0.4167
2.0000,0.6944
2.0000,0.6667
2.0000,0.6667
2.0000,0.5556
2.0000,0.6111
2.0000,0.5278
2.0000,0.4444
