0.0000,0.2222,0.6250,0.0678,0.0417
0.0000,0.1667,0.4167,0.0678,0.0417
0.0000,0.1111,0.5000,0.0508,0.0417
0.0000,0.0833,0.4583,0.0847,0.0417
0.0000,0.1944,0.6667,0.0678,0.0417
1.0000,0.7500,0.5000,0.6271,0.5417
1.0000,0.5833,0.5000,0.5932,0.5833
1.0000,0.7222,0.4583,0.6610,0.5833
1.0000,0.3333,0.1250,0.5085,0.5000
1.0000,0.6111,0.3333,0.6102,0.5833
1.0000,0.3889,0.3333,0.5254,0.5000
2.0000,0.5556,0.5417,0.8475,1.0000
2.0000,0.4167,0.2917,0.6949,0.7500
2.0000,0.7778,0.4167,0.8305,0.8333
2.0000,0.5556,0.3750,0.7797,0.7083
