1, 21411, 0, 0, 0, 0, 16, -54
2, 146, 0, 0, 0, 0, 0, 0
3, 768, 0, 0, 0, 0, 2, -7
4, 1617, 1, 0, 0, 0, 7, 989
5, 18292, 1, 0, 0, 0, 19, 954
6, 10131, 1, 0, 0, 0, 8, 976
7, 768, 0, 0, 0, 0, 2, -7
8, 17114, 1, 0, 0, 0, 19, 960
9, 10871, 1, 1, 0, 0, 24, 954
10, 6529, 1, 0, 0, 0, 17, 968
11, 2301, 1, 2, 0, 0, 17, 991
12, 8342, 1, 0, 0, 0, 13, 970
13, 5832, 1, 0, 0, 0, 8, 977
14, 146, 0, 0, 0, 0, 0, 0
15, 24083, 1, 0, 0, 0, 20, 944
16, 9426, 1, 0, 0, 0, 16, 958
17, 15410, 1, 0, 0, 0, 17, 953
18, 4716, 1, 0, 0, 0, 7, 980
19, 8061, 1, 1, 0, 0, 22, 957
20, 5430, 1, 0, 0, 0, 10, 981
