1, 87467, 1, 18, 0, 0, 278, 724
2, 121980, 1, 0, 0, 0, 101, 793
3, 20948, 1, 0, 0, 0, 14, 957
4, 16711, 0, 0, 0, 0, 11, -34
5, 60319, 1, 19, 0, 0, 490, 442
6, 112040, 1, 18, 0, 0, 288, 612
7, 69434, 0, 0, 0, 0, 35, -90
8, 72424, 1, 17, 0, 0, 385, 595
9, 278034, 1, 18, 0, 0, 476, 278
10, 2842, 0, 0, 0, 0, 5, -16
11, 174681, 1, 13, 0, 0, 229, 634
12, 28613, 0, 0, 0, 0, 14, -38
13, 19226, 0, 0, 0, 0, 12, -34
14, 55685, 1, 19, 0, 0, 439, 551
15, 27401, 0, 0, 0, 0, 16, -58
16, 142431, 1, 20, 0, 0, 458, 528
17, 6021, 0, 0, 0, 0, 7, -24
18, 279884, 1, 19, 0, 0, 529, 177
19, 44296, 1, 18, 0, 0, 99, 1003
20, 24768, 1, 0, 0, 0, 32, 939
