1, 226790, 1, 15, 0, 0, 351, 500
2, 73895, 1, 11, 0, 0, 371, 503
3, 83343, 1, 17, 0, 0, 173, 841
4, 46027, 1, 0, 0, 0, 57, 893
5, 30259, 0, 0, 0, 0, 10, -26
6, 224075, 1, 0, 0, 0, 181, 625
7, 4818, 0, 0, 0, 0, 5, -16
8, 226804, 1, 16, 0, 0, 324, 555
9, 68034, 0, 0, 0, 0, 26, -99
10, 29376, 0, 0, 0, 0, 14, -41
11, 125152, 1, 13, 0, 0, 383, 484
12, 32027, 1, 13, 0, 0, 40, 1075
13, 122103, 1, 17, 0, 0, 411, 359
14, 11370, 0, 0, 0, 0, 8, -25
15, 144680, 1, 15, 0, 0, 373, 495
16, 6110, 0, 0, 0, 0, 5, -16
17, 102528, 1, 13, 0, 0, 319, 600
18, 54333, 1, 13, 0, 0, 149, 877
19, 22491, 0, 0, 0, 0, 20, -68
20, 271490, 1, 9, 0, 0, 330, 420
