0, 1, 1, 1, 1
0, 1, 2, 1, 1
0, 1, 3, 1, 1
0, 1, 3, 1, 1
0, 1, 3, 1, 1
0, 2, 6, 1, 1
0, 1, 6, 1, 1
0, 2, 4, 1, 1
0, 4, 6, 1, 1
0, 1, 2, 1, 1
0, 1, 3, 1, 1
0, 1, 4, 1, 1
0, 2, 6, 1, 1
0, 1, 1, 1, 1
0, 1, 2, 1, 1
0, 1, 4, 1, 1
0, 2, 4, 1, 1
0, 2, 5, 1, 1
0, 2, 6, 1, 1
0, 1, 6, 1, 1
1, 2, 1, 2, 1
1, 1, 1, 2, 2
1, 2, 1, 2, 2
1, 4, 1, 2, 2
1, 2, 1, 2, 2
1, 6, 1, 2, 2
1, 5, 1, 2, 2
1, 2, 1, 1, 2
1, 2, 1, 2, 2
1, 3, 1, 2, 2
1, 5, 1, 2, 2
1, 5, 1, 2, 2
1, 4, 2, 2, 2
1, 2, 1, 2, 2
1, 6, 1, 2, 2
1, 2, 1, 2, 2
1, 2, 1, 2, 2
1, 2, 1, 2, 2
1, 6, 1, 2, 2
1, 4, 1, 2, 2
2, 8, 1, 6, 5
2, 9, 4, 6, 5
2, 9, 1, 6, 5
2, 6, 1, 5, 5
2, 5, 1, 5, 6
2, 5, 1, 5, 6
2, 7, 1, 6, 6
2, 9, 1, 6, 6
2, 3, 1, 4, 6
2, 4, 1, 5, 6
2, 8, 4, 5, 6
2, 8, 2, 5, 6
2, 9, 6, 6, 6
2, 9, 1, 6, 6
2, 8, 3, 6, 6
2, 8, 2, 6, 6
2, 7, 1, 6, 6
2, 8, 4, 6, 6
2, 8, 2, 6, 6
2, 9, 2, 6, 6
